,sentences
147840,"Throughout the entire relationship, I never had sexual contact with anyone other than him."
147870,My fasting sugar is 180 and postprandial is 165.
147909,I have a needle-like pain on the left side of the rib.
148075,"The upper limb is back to normal with no pain, and the patient is happy."
148078,The cosmetic defect is the last thing that should be worried.
148102,"Walking briskly for three km is the best exercise, five days in a week."
148126,How long have you been facing the aforementioned symptoms?
148143,"I am 25 years old, weigh 85 kg, and height is 5'4""."
148195,"Worrying about your GI tract will create stress which increases your cortisol levels and create further problems with your sugars, sleep, bowel movements in the future, so try not to worry."
148320,I have a throbbing pain.
148326,There are chances of bone involvement which can lead to complications.
148400,"But if you have nausea, that stops you from eating, diarrhea, pain, fever or abnormal sweating, then you need to see a doctor soon."
148414,I have a triglyceride of 3.07 mmol/L and cholesterol of 4.33 mmol/L.
148461,This is probably a hypersensitive reaction to the condom.
148469,A slight improvement is seen while bending the legs.
148474,"Physiotherapy includes quadriceps strengthening, hamstring stretching, and strengthening, full weight-bearing walking with a hinged knee brace, and knee bending for three weeks."
148562,I understand your concern and would explain that your symptoms are not related to the arthroscopy.
148712,"Hypertension at your age is not usual and if it is present, a few things need to be evaluated thoroughly, especially your kidneys and your adrenal glands."
148722,MRI or ultrasound of kidneys.
148744,I am 17 years old female.
148806,My height is 140 cm and my BMI is 25.
148852,"With regular use of drugs, your sex life gets improved, and there is no need to worry."
148936,"During the weekends, try to avoid staying out for long periods."
148959,and get a stool antigen for H.Pylori done or any other test to confirm eradication of H.Pylori.
148961,(Although they are of benefit in GERD only).
149023,"Please send your gynecology, and obstetrics report, drug history and medical history."
149040,"If they are recent and surely negative, then this pain is the tendency for impending periods."
149050,"Your improving health will help you in the future to have a healthy pregnancy too, poor health can affect pregnancy in future causing abortions, growth restrictions in baby, preterm labor pains."
149052,Does this day come under a fertile period?
149096,Some clotted and blackish blood came out.
149102,"In others, it comes gradually in episodes, and it might need further intervention."
149159,"For moderate to severe grade acne, both oral medication and topical treatment are effective."
149195,It almost looks like an animated drawing of a volcano.
149202,Make sure there must not be any high point after filling.
149272,"If there are lethargy and refusal of feeds in the child, then there can be something wrong."
149279,Some patients have no issues with cholesterol but some have a family history of raised cholesterol levels.
149407,"Is there any possibility of full recovery after detachment of severed right-hand thumb, if the detached part is found and not fully damaged?"
149416,Study time in one-hour minimum three to four times he goes to urinate.
149469,My Invisalign retainer cracked pretty substantially on the seventh day after wearing it.
149509,"The fasting blood sugar of my mother, aged 55 is 204 mg/dL."
149529,"You can repeat the test at the end of three months, and not before that."
149549,"But 5 to 15 % may have hearing loss, mental retardation, and microcephaly."
149562,"Today again, I had a pain on my feet, and I am sending the location of pain present on my feet."
149565,Does eating chicken cause an increase in uric acid?
149796,"However, none is serious and can be managed easily."
149883,I have read your health related query.
149902,This condition is known as pregnancy-related cholestasis.
149912,Is it safe to repeat the dose?
149922,It also happens when I do not have periods.
149933,I had hypothyroidism for 24 years.
149946,"Your TSH (thyroid stimulating hormone) is in the lower normal range, just near the border."
150001,Please suggest a permanent solution for dryness.
150020,It helps for the current mood stability you are experiencing now.
150064,I am always worrying about it.
150075,I have disturbed sleep on several days and erectile issues (sustaining erection during intercourse).
150077,I have high myopia (-10 power in both eyes) and severe dry eyes (Schirmer score of 2 mm in each eye).
150078,"I take Restasis, Systane ultra and Eyemist eye gel for the dryness."
150145,Your partner can have a local application of any antibiotic and antifungal cream.
150161,"Whenever I stand up, little pain or crushing pain happens and disappears suddenly."
150198,PCOD (polycystic ovaries) is a congenital condition.
